Snapshot ID,NodeName,Initiator,VectorClock,Content,BufferedMessages
6,control (5_control),control (3_control),"0,0,0,70,104","control (4_control): [sensor (4)_58,142.79,159,false,;sensor (4)_59,19.78,161,false,;sensor (4)_60,72.42,164,false,;sensor (4)_61,28.19,167,false,;sensor (4)_62,89.76,169,false,;sensor (4)_63,122.24,171,false,;sensor (4)_64,16.41,174,false,;sensor (4)_65,24.34,176,false,;sensor (4)_66,23.62,178,false,;sensor (4)_67,136.79,181,false,;sensor (4)_68,136.32,184,false,;sensor (4)_69,141.42,186,false,;sensor (4)_70,158.89,188,false,;sensor (4)_71,112.56,191,false,;sensor (4)_72,14.64,193,false,;]@",
6,control (1_control),control (3_control),"103,0,0,70,0","control (4_control): [sensor (4)_58,142.79,155,false,;sensor (4)_59,19.78,157,false,;sensor (4)_60,72.42,160,false,;sensor (4)_61,28.19,163,false,;sensor (4)_62,89.76,165,false,;sensor (4)_63,122.24,167,false,;sensor (4)_64,16.41,170,false,;sensor (4)_65,24.34,172,false,;sensor (4)_66,23.62,174,false,;sensor (4)_67,136.79,177,false,;sensor (4)_68,136.32,180,false,;sensor (4)_69,141.42,182,false,;sensor (4)_70,158.89,184,false,;sensor (4)_71,112.56,187,false,;sensor (4)_72,14.64,189,false,;]@",
6,control (2_control),control (3_control),"0,0,0,0,0","network (1):sensor (4)_40,sensor (4)_43,sensor (4)_45,sensor (4)_46,sensor (4)_50,sensor (4)_54,sensor (4)_56,sensor (4)_58,sensor (4)_59,sensor (4)_60,sensor (4)_65,sensor (4)_67,sensor (4)_68,sensor (4)_70,sensor (4)_71,@network (3):sensor (4)_47,sensor (4)_48,sensor (4)_49,sensor (4)_51,sensor (4)_52,sensor (4)_53,sensor (4)_55,sensor (4)_57,sensor (4)_61,sensor (4)_62,sensor (4)_63,sensor (4)_64,sensor (4)_66,sensor (4)_69,sensor (4)_72,@",
6,control (3_control),control (3_control),"0,0,0,0,0","network (4):sensor (4)_58,sensor (4)_59,sensor (4)_60,sensor (4)_61,sensor (4)_62,sensor (4)_63,sensor (4)_64,sensor (4)_65,sensor (4)_66,sensor (4)_67,sensor (4)_68,sensor (4)_69,sensor (4)_70,sensor (4)_71,sensor (4)_72,@network (2):sensor (4)_56,@",
6,control (4_control),control (3_control),"0,0,0,73,0","142.79, 19.78, 72.42, 28.19, 89.76, 122.24, 16.41, 24.34, 23.62, 136.79, 136.32, 141.42, 158.89, 112.56, 14.64",
7,control (4_control),control (3_control),"0,0,0,77,0","89.76, 122.24, 16.41, 24.34, 23.62, 136.79, 136.32, 141.42, 158.89, 112.56, 14.64, 27.99, 19.84, 28.98, 112.04",
7,control (5_control),control (3_control),"0,0,0,75,112","control (4_control): [sensor (4)_62,89.76,169,false,;sensor (4)_63,122.24,171,false,;sensor (4)_64,16.41,174,false,;sensor (4)_65,24.34,176,false,;sensor (4)_66,23.62,178,false,;sensor (4)_67,136.79,181,false,;sensor (4)_68,136.32,184,false,;sensor (4)_69,141.42,186,false,;sensor (4)_70,158.89,188,false,;sensor (4)_71,112.56,191,false,;sensor (4)_72,14.64,193,false,;sensor (4)_73,27.99,195,false,;sensor (4)_74,19.84,198,false,;sensor (4)_75,28.98,201,false,;sensor (4)_76,112.04,204,false,;]@",
7,control (1_control),control (3_control),"111,0,0,75,0","control (4_control): [sensor (4)_62,89.76,165,false,;sensor (4)_63,122.24,167,false,;sensor (4)_64,16.41,170,false,;sensor (4)_65,24.34,172,false,;sensor (4)_66,23.62,174,false,;sensor (4)_67,136.79,177,false,;sensor (4)_68,136.32,180,false,;sensor (4)_69,141.42,182,false,;sensor (4)_70,158.89,184,false,;sensor (4)_71,112.56,187,false,;sensor (4)_72,14.64,189,false,;sensor (4)_73,27.99,191,false,;sensor (4)_74,19.84,194,false,;sensor (4)_75,28.98,197,false,;sensor (4)_76,112.04,200,false,;]@",
7,control (2_control),control (3_control),"0,0,0,0,0","network (3):sensor (4)_49,sensor (4)_51,sensor (4)_52,sensor (4)_53,sensor (4)_55,sensor (4)_57,sensor (4)_61,sensor (4)_62,sensor (4)_63,sensor (4)_64,sensor (4)_66,sensor (4)_69,sensor (4)_72,sensor (4)_75,sensor (4)_76,@network (1):sensor (4)_45,sensor (4)_46,sensor (4)_50,sensor (4)_54,sensor (4)_56,sensor (4)_58,sensor (4)_59,sensor (4)_60,sensor (4)_65,sensor (4)_67,sensor (4)_68,sensor (4)_70,sensor (4)_71,sensor (4)_73,sensor (4)_74,@",
7,control (3_control),control (3_control),"0,0,0,0,0","network (4):sensor (4)_62,sensor (4)_63,sensor (4)_64,sensor (4)_65,sensor (4)_66,sensor (4)_67,sensor (4)_68,sensor (4)_69,sensor (4)_70,sensor (4)_71,sensor (4)_72,sensor (4)_73,sensor (4)_74,sensor (4)_75,sensor (4)_76,@network (2):sensor (4)_56,@",
